"ID No.","PCD-400A"
"Title",""
"Test Date","2026/04/09","15:54:47"
"MEAS CHs",5
"Digital Input","OFF"
"Sampling Rate(Hz)",50
"Data Nos/CH",9120
"MEAS Time(sec)",182.4
"CH Name"
"CH No.","CH2","CH3","CH5","CH6","CH8"
"Range",2000,1000,5000,5000,5
"Calibration Coefficient",2.022,2.45,2.132,2,100000
"Offset",-97.55164,-1025.034,-15.1463,849.1317,-13.17073
"Unit","cm/s2","cm/s2","cm/s2","cm/s2","V"
3.76,-28.2044375609756,-15.2948841463416,9.6967,-1.06830000000002,1.70731707171967E-06
3.78,-19.8861268292683,0.559304878048579,13.9724,-0.675617073170656,0.609757804878047
3.80,10.2253985365854,26.6706280487804,16.5334,-0.892690243902393,-0.853656829268294
3.82,6.35154243902439,5.11779878048765,-8.9323,-2.03903170731701,-0.853656829268294
3.84,-8.01205512195124,-22.5167073170733,-30.2744,0.0695048780488605,-0.792681219512197
3.86,6.61884097560974,1.71080487804875,-21.1107,-1.10244634146341,0.670733414634146
3.88,15.1408312195122,30.5801707317071,-1.9097,1.49755365853662,1.58536756097561
3.90,-18.6985717073171,12.6730609756096,-2.1632,-0.615860975609735,2.37805048780488
3.92,-38.9027902439025,-1.22112804878066,-6.1971,0.749992682926859,1.34146512195122
3.94,-8.29760097560977,23.4040609756096,0.522599999999999,-2.55732439024393,0.426830975609755
3.96,15.3612785365854,26.087707317073,-6.0333,0.0902365853659148,1.40244073170732
3.98,-1.02925073170732,-10.0584573170732,-26.8424,-0.562202439024418,1.46341634146341
4.00,-4.96771219512196,-19.5719268292684,-25.2226,-0.625617073170702,2.13414804878049
4.02,14.16386,14.0148841463413,2.1034,-0.989031707317054,4.02439195121951
4.04,6.02851560975608,18.6537499999999,14.7797,-0.214641463414637,2.62195292682927
4.06,-28.2764404878049,-10.3381158536587,9.7799,-2.03171463414628,2.31707487804878
4.08,-19.4116965853659,-8.97926219512203,12.9519,-1.46951951219512,2.31707487804878
4.10,19.2035717073171,12.1346585365852,17.225,-1.42927560975602,0.731709024390243
4.12,21.6689321951219,-5.75631707317086,3.2318,-2.85488536585365,1.21951390243902
4.14,-1.03319609756099,-35.1368963414635,-12.0731,-0.423178048780414,2.07317243902439
4.16,6.35844682926827,-15.9288963414635,3.445,-0.490251219512174,0.914635853658536
4.18,16.8432565853658,16.4896829268291,26.4082,-2.64147073170727,-1.28048609756098
4.20,-10.8251009756098,3.50677439024389,20.9482,-1.57805609756099,-0.670730000000001
4.22,-29.7446097560976,-16.7356036585367,8.3629,-3.72683658536585,-1.09755926829268
4.24,-1.54412097560977,3.62210365853639,5.3196,-0.279275609756041,0.121952926829268
4.26,24.3996185365854,15.5419512195122,0.00909999999999833,-0.406104878048723,1.52439195121951
4.28,4.60522487804877,-10.2096402439025,-20.6115,-0.596348780487801,1.03658707317073
4.30,-10.3161487804878,-17.228292682927,-23.2895,-0.407324390243843,-0.42682756097561
4.32,3.06653219512194,18.0155548780488,-0.111800000000001,-0.875617073170702,1.70731707171967E-06
4.34,-2.43823951219514,31.8732926829266,8.7451,0.640236585365869,0.121952926829268
4.36,-30.6051926829268,4.79182926829253,-3.068,1.64023658536587,0.121952926829268
4.38,-24.3720078048781,-0.00210365853672556,-12.2187,-0.570739024390264,1.82927
4.40,13.3940204878049,22.127969512195,-7.6973,-1.07683658536587,0.79268463414634
4.42,18.4667746341463,13.4582560975609,-15.5571,-1.42195853658529,0.731709024390243
4.44,-8.75427707317074,-16.0836646341464,-27.3065,-1.35122682926828,1.09756268292683
4.46,-7.92920243902441,-3.79093902439035,-12.1732,0.339017073170794,0.54878219512195
4.48,6.07388731707316,26.7617560975609,15.1541,3.26462682926831,1.34146512195122
4.50,-9.48811512195122,13.6112317073168,14.5002,-0.625617073170702,1.7073187804878
4.52,-25.7158980487805,-15.3606158536587,3.6712,-1.28415365853652,0.426830975609755
4.54,1.72757365853657,-5.71150000000011,4.1392,0.590236585365915,0.365855365853658
4.56,30.0257102439024,7.89197560975595,8.8244,0.191456097560945,-1.09755926829268
4.58,13.6894297560976,-15.0567560975611,-5.2767,-0.436592682926857,-1.40243731707317
4.60,-8.8928580487805,-28.5129329268294,-4.8386,2.72194390243908,0.243904146341462
4.62,2.48508390243902,1.84555487804869,18.6173,-4.55122682926822,0.365855365853658
4.64,6.01815902439023,18.1159451219512,30.5136,1.94023658536582,0.182928536585365
4.66,-17.3315024390244,-7.60696341463427,13.7397,0.131700000000023,0.853660243902437
4.68,-14.4814687804878,-18.5492012195123,-0.9815,-1.20976341463415,0.609757804878047
4.70,20.5385848780488,4.86861585365841,0.805999999999999,1.13291951219514,0.731709024390243
4.72,24.17276,6.71537804878039,-6.7873,2.56584634146338,1.34146512195122
