"ID No.","PCD-400A"
"Title",""
"Test Date","2026/04/09","15:59:04"
"MEAS CHs",5
"Digital Input","OFF"
"Sampling Rate(Hz)",50
"Data Nos/CH",9105
"MEAS Time(sec)",182.1
"CH Name"
"CH No.","CH2","CH3","CH5","CH6","CH8"
"Range",2000,1000,5000,5000,5
"Calibration Coefficient",2.022,2.45,2.132,2,100000
"Offset",-97.55164,-1025.034,-15.1463,849.1317,-13.17073
"Unit","cm/s2","cm/s2","cm/s2","cm/s2","V"
2.96,-2.08759512195122,4.08820121951203,-2.7222,-3.79756829268285,1.70731707171967E-06
2.98,-1.43414390243903,3.51782926829264,-6.7951,-1.41708048780481,-0.792681219512197
3.00,-3.37822292682928,1.16642682926818,-2.7521,-3.22195853658536,0.731709024390243
3.02,-2.5161604878049,4.55429878048767,-4.9413,-4.00732439024387,1.28048951219512
3.04,-6.49703463414635,7.38972560975594,1.4937,-4.06220243902442,1.21951390243902
3.06,-7.64168390243904,5.94004268292679,0.318499999999998,-1.36464146341461,1.7682943902439
3.08,-6.36881024390244,3.83483536585345,-0.288600000000001,-4.85732439024389,1.21951390243902
3.10,-3.31756292682928,2.7173963414632,0.669499999999999,-2.63659268292679,0.121952926829268
3.12,-0.154859024390248,3.58027439024386,-2.6689,-2.8170804878049,0.243904146341462
3.14,-1.10026731707318,-0.234853658536622,-0.752700000000001,-5.73049512195121,0.487806585365853
3.16,-2.35686634146343,-0.498975609756144,-1.5444,-1.87439756097558,-0.42682756097561
3.18,-3.25394390243903,3.35828048780468,2.041,-5.26464146341459,-0.42682756097561
3.20,-5.28975268292685,3.16407317073163,7.4373,-4.28415365853652,-0.609754390243904
3.22,-6.43489512195123,1.07350609756077,4.7372,-4.79878780487797,-1.03658365853659
3.24,-3.09859512195123,-0.743975609756262,2.5025,-1.35854390243901,-0.609754390243904
3.26,1.79760390243901,0.724530487804714,2.2126,-2.46951951219512,1.15853829268293
