ID No.,PCD-400A,
Title,,
Test Date,4/9/2026,16:34:01
MEAS CHs,2,
Digital Input,OFF,
Sampling Rate(Hz),50,
Data Nos/CH,9855,
MEAS Time(sec),197.1,
CH Name,,
CH No.,CH6,CH8
Range,5000,5
Calibration Coefficient,2,100000
Offset,854.5598,-15.97561
Unit,cm/s2,V
9.2,10.27077561,-1.402439268
9.22,12.26101951,-0.97561
9.24,12.40492195,-0.670731951
9.26,10.98053171,0.731707073
9.28,11.7695561,0.670731463
9.3,8.704921951,-0.91463439
9.32,10.40614146,0.304877805
9.34,12.77809268,0.304877805
9.36,13.26345854,0.609755854
9.38,10.18906829,0.670731463
9.4,11.68297073,-0.609756341
9.42,13.1695561,-1.341463659
9.44,13.02321463,-0.548780732
9.46,12.75858049,-0.85365878
9.48,11.43662927,-0.487805122
9.5,12.63419024,0.609755854
9.52,13.44272683,0.609755854
9.54,13.86467805,-1.219512439
9.56,13.81833659,-0.304878293
9.58,11.65126341,-1.524390488
9.6,11.6902878,-0.243902683
9.62,15.11711707,-0.060975854
9.64,12.30614146,-2.012195366
9.66,14.04638537,-1.768292927
9.68,13.17443415,-1.402439268
9.7,12.01101951,-1.646341707
9.72,12.35248293,-1.524390488
9.74,12.98540976,0.365853415
9.76,12.97687317,-1.402439268
9.78,14.76589756,-2.195122195
9.8,12.98540976,-1.09756122
9.82,12.98540976,-1.219512439
9.84,11.97321463,-0.426829512
9.86,10.8793122,1.40243878
9.88,12.66345854,1.58536561
9.9,13.17809268,-2.44E-07
9.92,14.4695561,0.792682683
9.94,8.229312195,-0.182927073
9.96,13.15614146,-0.487805122
9.98,13.75614146,0.121950976
10,10.51223902,-0.792683171
10.02,10.13419024,-0.97561
10.04,11.30614146,-1.219512439
10.06,11.38419024,-2.073170976
10.08,13.98784878,-1.219512439
10.1,9.168336585,-0.487805122
10.12,9.525653659,-1.585366098
10.14,10.62687317,-2.073170976
10.16,10.77443415,-2.987805122
10.18,11.30126341,-3.719512439
10.2,9.404921951,-1.280488049
10.22,10.74150732,-0.243902683
10.24,8.906141463,-1.09756122
10.26,9.976873171,-0.97561
10.28,10.33297073,-1.03658561
10.3,9.089068293,-1.463414878
10.32,7.969556098,-0.609756341
10.34,9.484190244,0.243902195
10.36,7.792726829,-1.03658561
10.38,10.18053171,-0.91463439
10.4,7.489068293,-2.073170976
10.42,8.314678049,-2.439024634
10.44,6.17077561,-0.365853902
10.46,7.473214634,-0.365853902
10.48,10.24394634,-0.487805122
10.5,9.903702439,0.365853415
10.52,9.171995122,-1.341463659
10.54,8.185409756,-1.158536829
10.56,8.27077561,0.731707073
10.58,8.5598,-0.426829512
10.6,7.9598,0.365853415
10.62,8.146385366,-0.91463439
10.64,10.83662927,-2.195122195
10.66,8.074434146,-1.09756122
10.68,8.975653659,0.487804634
10.7,8.851263415,0.060975366
10.72,10.83662927,0.731707073
10.74,12.41345854,-1.158536829
10.76,10.29516585,-3.231707561
10.78,11.14272683,-3.59756122
10.8,12.42809268,-3.109756341
10.82,9.939068293,-2.926829512
10.84,12.85858049,-2.012195366
10.86,13.38906829,-1.768292927
10.88,11.05126341,-3.902439268
10.9,12.23053171,-3.658536829
10.92,12.05248293,-2.195122195
10.94,13.65370244,-2.134146585
10.96,13.41833659,-0.609756341
10.98,11.89150732,-0.97561
11,12.06711707,-2.500000244
11.02,13.38419024,-2.743902683
11.04,15.57077561,-2.439024634
11.06,11.2195561,-2.378049024
11.08,9.918336585,-1.524390488
11.1,13.43662927,-1.219512439
11.12,12.22809268,-1.829268537
11.14,14.33906829,-1.341463659
11.16,13.33662927,-0.060975854
11.18,12.07077561,-1.646341707
11.2,14.18784878,0.060975366
11.22,12.50248293,-0.609756341
11.24,12.81589756,-1.524390488
11.26,12.81589756,-0.182927073
11.28,13.53419024,-0.85365878
11.3,13.8598,-0.609756341
11.32,10.95248293,1.219511951
11.34,9.68784878,0.426829024
11.36,12.02443415,-2.012195366
11.38,11.97199512,-2.073170976
11.4,13.54394634,-0.609756341
