CH No.,CH6,CH8,,,,
Unit,cm/s2,V,,,,
7.98,20.43419024,0.182926585,,,,
8,21.83784878,0.060975366,,,,
8.02,22.69516585,0.487804634,,,,
8.04,18.5598,-0.670731951,,,,
8.06,21.0902878,0.609755854,,,,
8.08,19.13053171,-0.426829512,,,,
8.1,20.88540976,-1.09756122,,,,
8.12,21.39394634,-0.548780732,,,,
8.14,19.1293122,-0.91463439,,,,
8.16,20.41833659,-1.402439268,,,,
8.18,17.83906829,-2.195122195,,,,
8.2,17.8195561,-2.804878293,,,,
8.22,19.4598,-3.170731951,,,,
8.24,17.83784878,-2.621951463,,,,
8.26,16.43297073,-2.317073415,,,,
8.28,15.34638537,-3.963414878,,,,
8.3,15.34272683,-4.085366098,,,,
8.32,19.23053171,-2.926829512,,,,
8.34,13.67077561,-2.621951463,,,,
8.36,14.58906829,-2.500000244,,,,
8.38,12.64638537,-2.560975854,,,,
8.4,14.52199512,-4.329268537,,,,
8.42,12.40614146,-3.719512439,,,,
8.44,12.98419024,-3.109756341,,,,
8.46,11.62687317,-3.048780732,,,,
8.48,12.85614146,-0.487805122,,,,
8.5,13.17565366,-0.792683171,,,,
8.52,14.13784878,-1.463414878,,,,
8.54,13.05736098,-1.280488049,,,,
8.56,14.3195561,-0.121951463,,,,
8.58,12.84882439,-2.44E-07,,,,
8.6,15.95248293,-5.060975854,,,,
8.62,13.35736098,7.865853415,,,,
8.64,13.96711707,1.768292439,,,,
8.66,13.62687317,0.243902195,,,,
8.68,17.43053171,0.304877805,,,,
8.7,15.38053171,-0.121951463,,,,
8.72,13.07809268,-0.731707561,,,,
8.74,15.6793122,-0.121951463,,,,
8.76,16.71833659,-0.97561,,,,
8.78,19.59638537,-0.609756341,,,,
8.8,19.10126341,-0.91463439,,,,
8.82,18.53419024,-1.524390488,,,,
8.84,17.06467805,-1.219512439,,,,
8.86,18.24150732,-2.195122195,,,,
8.88,20.12809268,-3.59756122,,,,
8.9,19.74272683,-4.451219756,,,,
8.92,20.25248293,-4.085366098,,,,
8.94,20.99516585,-4.634146585,,,,
8.96,20.94760488,-3.841463659,,,,
8.98,22.24516585,-3.109756341,,,,
9,22.92687317,-2.743902683,,,,
9.02,22.83784878,-2.682927073,,,,
9.04,20.37077561,-2.256097805,,,,
9.06,22.71223902,-2.317073415,,,,
9.08,23.15126341,-1.219512439,,,,
9.1,23.50248293,-0.85365878,,,,
9.12,22.65858049,-1.219512439,,,,
9.14,22.80370244,0.060975366,,,,
9.16,19.32443415,-0.426829512,,,,
9.18,22.03784878,-2.44E-07,,,,
9.2,24.25858049,1.341463171,,,,
9.22,23.78662927,0.914633902,,,,
9.24,20.88540976,0.853658293,,,,
9.26,24.19882439,2.134146098,,,,
9.28,20.87809268,1.768292439,,,,
9.3,22.35736098,0.914633902,,,,
9.32,23.28053171,1.890243659,,,,
9.34,22.57565366,1.829268049,,,,
9.36,20.38053171,0.487804634,,,,
9.38,22.79638537,-2.44E-07,,,,
9.4,23.14638537,-0.91463439,,,,
9.42,19.86101951,-1.402439268,,,,
9.44,22.60736098,-0.182927073,,,,
9.46,19.74760488,-0.426829512,,,,
9.48,20.76467805,-0.487805122,,,,
9.5,19.56711707,-0.97561,,,,
9.52,18.85858049,-1.585366098,,,,
9.54,19.34150732,-2.926829512,,,,
9.56,21.29882439,-1.463414878,,,,
9.58,22.93784878,-3.231707561,,,,
9.6,18.67565366,-2.439024634,,,,
9.62,19.78053171,-2.378049024,,,,
9.64,20.48175122,-3.35365878,,,,
9.66,18.78175122,-3.35365878,,,,
9.68,20.5098,-2.134146585,,,,
9.7,18.58419024,-1.829268537,,,,
9.72,17.34272683,-2.012195366,,,,
9.74,17.28053171,-1.03658561,,,,
9.76,18.18906829,-1.03658561,,,,
9.78,15.05492195,-2.134146585,,,,
9.8,13.97809268,-0.060975854,,,,
9.82,14.62443415,0.487804634,,,,
9.84,15.40614146,0.060975366,,,,
9.86,15.03540976,1.036585122,,,,
9.88,13.34394634,0.731707073,,,,
9.9,13.07443415,1.341463171,,,,
9.92,14.65370244,0.853658293,,,,
9.94,12.73540976,0.853658293,,,,
9.96,13.57199512,-1.280488049,,,,
9.98,15.91833659,-0.243902683,,,,
10,14.7098,-2.195122195,,,,
10.02,13.69760488,-1.951219756,,,,
10.04,14.86711707,-1.646341707,,,,
10.06,13.64394634,-1.707317317,,,,
10.08,17.60248293,-0.91463439,,,,
10.1,14.99516585,-0.91463439,,,,
10.12,14.16467805,-2.073170976,,,,
10.14,16.80614146,-1.280488049,,,,
10.16,15.12443415,-2.865853902,,,,
10.18,18.93053171,-3.841463659,,,,
10.2,16.75614146,-2.926829512,,,,
10.22,19.12321463,-1.341463659,,,,
10.24,18.04394634,-2.073170976,,,,
10.26,21.56345854,-1.280488049,,,,
10.28,17.39150732,-1.03658561,,,,
10.3,19.94516585,-1.158536829,,,,
10.32,20.00614146,-0.060975854,,,,
10.34,20.77321463,0.609755854,,,,
10.36,22.50614146,-0.426829512,,,,
10.38,22.12809268,0.060975366,,,,
10.4,21.34760488,0.975609512,,,,
10.42,20.16833659,0.853658293,,,,
10.44,21.76345854,1.097560732,,,,
10.46,23.04394634,1.768292439,,,,
