ID No.,PCD-400A,,,,
Title,,,,,
Test Date,4/9/2026,15:46:59,,,
MEAS CHs,5,,,,
Digital Input,OFF,,,,
Sampling Rate(Hz),50,,,,
Data Nos/CH,9028,,,,
MEAS Time(sec),180.56,,,,
CH Name,,,,,
CH No.,CH2,CH3,CH5,CH6,CH8
Range,2000,1000,5000,5000,5
Calibration Coefficient,2.022,2.45,2.132,2,100000
Offset,-105.9434,-1020.512,-55.6634,868.4366,-12.62195
Unit,cm/s2,cm/s2,cm/s2,cm/s2,V
7,1.305452683,-2.775426829,-4.2666,9.204892683,1.219513415
7.02,-2.554594634,-3.080780488,0.6032,6.462209756,1.646342683
7.04,-0.857594146,3.924128049,6.9394,8.173185366,2.621952439
7.06,-2.610322927,4.238743902,8.4617,8.046356098,2.134147561
7.08,-4.538620488,-2.486804878,5.6706,10.38781951,0.304879268
7.1,-1.505620488,-4.600079268,3.6725,6.419526829,0.914635366
7.12,6.388563415,-0.723402439,1.7706,6.596356098,1.280489024
7.14,6.579420488,-3.323689024,5.9397,9.215868293,1.585367073
7.16,-1.430165366,-6.025560976,-1.3884,8.382941463,2.682928049
7.18,-3.13850878,-1.344268293,5.7031,8.850014634,1.280489024
7.2,-1.658996585,5.929841463,11.2554,6.373185366,0.609757317
7.22,-3.949281463,2.652518293,8.333,8.067087805,0.548781707
7.24,-5.796699024,-2.214914634,0.4654,10.5170878,0.426830488
7.26,0.041949268,0.527292683,-5.1844,7.979282927,0.975610976
7.28,5.233557561,4.144628049,-6.5559,5.603673171,2.865854878
7.3,0.455719512,0.385073171,-6.5221,6.030502439,1.524391463
7.32,-7.512933171,0.877164634,-4.8126,6.3866,1.402440244
7.34,-5.513619024,8.560902439,5.8357,7.37562439,0.731708537
7.36,-3.650913171,10.27381098,1.7225,7.840258537,-0.487803659
7.38,-6.362365854,2.106347561,-4.6761,9.450014634,0.121952439
7.4,-3.257856098,-0.407890244,-5.0128,9.245136585,0.243903659
7.42,5.68431561,3.266213415,-3.0745,9.006112195,0.853659756
7.44,3.56121561,1.979365854,-1.4443,7.131721951,0.426830488
7.46,-4.201784878,-1.063414634,0.078,7.001234146,0.121952439
7.48,-5.873140488,0.900469512,3.2422,8.074404878,0.365854878
7.5,-2.701066341,5.303597561,6.0931,8.743917073,2.012196341
7.52,-1.838017561,1.011018293,8.3213,10.0061122,2.25609878
7.54,-1.388245854,-5.969689024,3.5464,7.90855122,1.951220732
